nHM,piPC09,PCD,X2Av,MLOGP,ON1V,N-072,B02[C-N],F04[C-O],Class,logBCF
3,5.637758278888329,2.1372274347023015,0.13380779174209656,-0.5825373670478382,3.020682830947009,0,1,3,1,2.6457154242682503
0,0.19874810587675015,2.11760623488465,0.15647045878097063,4.180610269777813,1.455463639335636,0,1,14,1,3.6141857292113233
0,8.271635187630942,2.250014707424343,0.11858745460435362,4.983548759884917,1.5532508286314064,0,1,8,3,3.5441629970768767
0,7.03850700638119,2.0833328078411375,0.21350792604292812,6.933647207411403,1.3814771204074214,2,0,0,1,3.5151554277700665
0,-0.14721818639212783,0.9844930073877896,0.18682684320076007,2.534723573110035,2.0504083219137788,0,0,0,1,1.8097116569062588
0,7.729321115318383,2.011576828570189,0.12745094384358183,-0.034208478321978486,1.6422158285188762,3,1,0,1,7.1550441266209415
0,1.833677187835208,1.1627688287665385,0.12188062816709674,4.384797639607454,0.325317832896564,0,0,18,1,2.9971600310083515
0,4.5939767890756436,1.1039050275236395,0.15339912423834787,2.4780273361148444,3.8009027907469255,0,0,3,1,2.6166715029755374
2,6.338753349463266,-0.2556534159892584,0.13276491085443742,4.753861809516227,1.144295527682121,0,0,0,3,3.233867607474099
0,0.24013712837538906,1.5976439077859652,0.12703280695065938,3.850599200203981,1.10572264899921,0,0,0,1,2.3559440161375873
1,3.8883463215099443,0.9432603362480181,0.14747108390289757,0.45632889570052493,2.706510004890723,0,0,1,3,2.959939876237605
1,6.032712021845568,1.326619401001112,0.18383941554082037,0.8530214766520878,1.5673476516711433,0,0,7,1,1.8539009768023702
0,9.6036670748244,1.5352064442614866,0.23973315123960376,3.931462669828594,1.3771341298614757,0,0,0,1,0.9003490109028807
0,7.866529859278797,2.4595081674554504,0.14263982077250964,1.3724859431003344,1.290644114239631,0,0,6,2,3.192838362450785
0,6.490809663062773,1.1433194426325273,0.34832591261413565,-1.0781168599508548,1.172094131754889,2,0,3,1,4.185642035249155
0,6.7951573679549035,0.9199043330416741,0.43152391352506214,1.876685783248269,1.4065189249061174,0,0,0,2,2.9355671104384853
0,7.206315969695451,1.7063085528486035,0.16644865962218802,2.1134788990531406,0.31406087355198087,0,0,0,1,1.7510107089052633
3,-0.35488239517315967,-0.10375519633403427,0.11279196532715534,3.727461314138327,1.948405414905665,0,0,12,1,2.3473999742361595
0,0.28071506302631755,1.4698856277517587,0.12649343602997554,4.0867198826798,1.0873209192892443,0,1,0,1,1.8741480437958717
0,-0.4489286961999577,1.276053304065178,0.1652810659081626,5.124890450506926,1.3081201616603553,0,0,2,3,2.196163672385418
1,2.7585568902879025,0.9798976886873648,0.16230044385053574,2.9450729760403975,0.4116730661086715,0,0,0,3,3.491914935519852
0,0.00958632826963684,1.0224086402885075,0.11939772943810337,2.7262148270764617,1.5565614014868607,0,0,20,1,3.0001558482512793
0,8.277130173561309,0.8016533675581585,0.2658546273004561,3.02357492543039,2.254228233948166,0,0,0,1,2.80738319635874
1,8.165149782646905,2.019805953409481,0.1226243016479009,5.701181630566799,0.6635758473722879,2,0,3,3,3.9388888943466163
0,5.760003149579077,2.2343502682257177,0.14789864878093317,4.92208466520464,0.964529616830978,0,1,0,2,2.326229683282011
0,-0.21527783427369834,2.0528720162438097,0.25362235133666566,5.894198334540898,2.171037470592513,0,0,0,2,5.5773918622400025
0,-0.25308403008975705,0.9370321960000618,0.04955348657723399,5.591552597491598,-0.0022747597183592205,0,1,0,1,1.9047673296426118
0,3.0756367614889815,1.03544239186628,0.13066886981090292,5.367779700373448,1.3297906825848615,1,0,12,3,2.9485584156220748
1,3.773404214529752,1.1444591454410726,0.07934565778802274,4.3999163758706965,1.046516227431861,0,0,14,1,5.785421429721033
1,8.974930838491366,0.8456880369717077,0.14038238247111345,2.5906245346720307,1.6260322692178524,0,1,0,3,2.4194875955187816
3,-0.046105943434942634,1.8289055207801461,0.39705443883299646,2.044135590202713,1.6600464794551528,1,0,2,3,2.7074756520342342
